id;active;document_type_ids/id;document_type_ids/active;document_type_ids/code;document_type_ids/localization;document_type_ids/name;document_type_ids/report_name;document_type_ids/doc_code_prefix;document_type_ids/sequence;document_type_ids/internal_type;document_type_ids/validator_id/id;issuer_ids/id;name;receptor_ids/id;taxes_included
l10n_ar_account.dl_m;TRUE;l10n_ar_account.dc_m_f;TRUE;51;Argentina;FACTURAS M;FC;FA M ;330;invoice;l10n_ar_account.validator_numero_factura;l10n_ar_account.res_IVARIFM;M;l10n_ar_account.res_IVARIFM,l10n_ar_account.res_IVARI;FALSE
;;l10n_ar_account.dc_m_nd;TRUE;52;Argentina;NOTAS DE DEBITO M;ND;ND M ;340;debit_note;l10n_ar_account.validator_numero_factura;;;;
;;l10n_ar_account.dc_m_nc;TRUE;53;Argentina;NOTAS DE CREDITO M;NC;NC M ;350;credit_note;l10n_ar_account.validator_numero_factura;;;;
;;l10n_ar_account.dc_m_r;TRUE;54;Argentina;RECIBOS M;FREC;RE M ;360;receipt_invoice;l10n_ar_account.validator_numero_factura;;;;
;;l10n_ar_account.dc_m_nvc;TRUE;55;Argentina;NOTAS DE VENTA AL CONTADO M;;;370;;l10n_ar_account.validator_numero_factura;;;;
;;l10n_ar_account.dc_m_rg1415;TRUE;56;Argentina;COMPROBANTES M DEL ANEXO I  APARTADO A  INC F   R G  N  1415;;;380;;;;;;
;;l10n_ar_account.dc_m_o_rg1415;TRUE;57;Argentina;OTROS COMPROBANTES M QUE CUMPLAN CON LA R G  N  1415;;;390;;;;;;
;;l10n_ar_account.dc_m_cvl;TRUE;58;Argentina;CUENTAS DE VENTA Y LIQUIDO PRODUCTO M;;;400;;;;;;
;;l10n_ar_account.dc_m_l;TRUE;59;Argentina;LIQUIDACIONES M;;;410;;;;;;
;;l10n_ar_account.dc_m_t;TRUE;118;Argentina;TIQUE FACTURA M;TIQ;TQ M ;840;invoice;;;;;
;;l10n_ar_account.dc_nc_m_t;TRUE;119;Argentina;TIQUE NOTA DE CREDITO M;NC;TNC M ;850;credit_note;;;;;
;;l10n_ar_account.dc_nd_m_t;TRUE;120;Argentina;TIQUE NOTA DE DEBITO M;ND;TND M ;860;debit_note;;;;;
l10n_ar_account.dl_e;TRUE;l10n_ar_account.dc_e_f;TRUE;19;Argentina;FACTURAS DE EXPORTACION;FC;FA E ;170;invoice;l10n_ar_account.validator_numero_factura;l10n_ar_account.res_RM,l10n_ar_account.res_IVARI;E;l10n_ar_account.res_CLI_EXT;FALSE
;;l10n_ar_account.dc_e_nd;TRUE;20;Argentina;NOTAS DE DEBITO POR OPERACIONES CON EL EXTERIOR;ND;ND E ;180;debit_note;l10n_ar_account.validator_numero_factura;;;;
;;l10n_ar_account.dc_e_nc;TRUE;21;Argentina;NOTAS DE CREDITO POR OPERACIONES CON EL EXTERIOR;NC;NC E ;190;credit_note;l10n_ar_account.validator_numero_factura;;;;
l10n_ar_account.dl_x;TRUE;l10n_ar_account.dc_t;TRUE;83;Argentina;TIQUE;TIQ;TIQUE ;580;invoice;;l10n_ar_account.res_IVAE,l10n_ar_account.res_RM,l10n_ar_account.res_IVARI,l10n_ar_account.res_IVARIFM;X;l10n_ar_account.res_CF,l10n_ar_account.res_IVAE,l10n_ar_account.res_RM,l10n_ar_account.res_IVARI,l10n_ar_account.res_IVARIFM;FALSE
;;l10n_ar_account.dc_recibo_x;TRUE;;Argentina;RECIBOS X;FREC;RE X ;870;inbound_payment_voucher;l10n_ar_account.validator_numero_factura;;;;
;;l10n_ar_account.dc_remito_x;TRUE;;Argentina;REMITOS X;REMITO;RM X ;880;;l10n_ar_account.validator_numero_factura;;;;
;;l10n_ar_account.dc_orden_pago_x;TRUE;;Argentina;ORDEN DE PAGO X;OP;OP X ;900;outbound_payment_voucher;l10n_ar_account.validator_numero_factura;;;;
l10n_ar_account.dl_i;TRUE;l10n_ar_account.fa_exterior;TRUE;;Argentina;FACTURAS Y COMPROBANTES DEL EXTERIOR;;FA I ;195;invoice;;l10n_ar_account.res_EXT;I;l10n_ar_account.res_IVARI,l10n_ar_account.res_RM;FALSE
;;l10n_ar_account.nc_exterior;TRUE;;Argentina;NOTAS DE CREDITO Y REEMBOLSOS DEL EXTERIOR;;NC I ;196;credit_note;;;;;
